id,sku,item_url,Ключевое слово # (#16),,
223,B20037,https://flower-club.ru/bukety/8-marta/buket-223,,,
224,B20038,https://flower-club.ru/bukety/8-marta/buket-224,,,
225,B20039,https://flower-club.ru/bukety/8-marta/buket-225,,,
226,B20040,https://flower-club.ru/bukety/8-marta/buket-226,,,
227,B20041,https://flower-club.ru/bukety/8-marta/buket-227,,,
228,B20042,https://flower-club.ru/bukety/8-marta/buket-228,,,
229,B20043,https://flower-club.ru/bukety/8-marta/buket-229,,,
230,B20044,https://flower-club.ru/bukety/8-marta/buket-230,,,
231,B20045,https://flower-club.ru/bukety/8-marta/buket-231,,,
232,B20046,https://flower-club.ru/bukety/8-marta/buket-232,,,
233,B20047,https://flower-club.ru/bukety/8-marta/buket-233,,,
234,B20048,https://flower-club.ru/bukety/den-vlyublennykh/buket-234,,,
235,B20049,https://flower-club.ru/bukety/den-vlyublennykh/buket-235,,,
236,B20050,https://flower-club.ru/bukety/8-marta/buket-236,,,
237,B20051,https://flower-club.ru/bukety/8-marta/buket-237,,,
238,B20052,https://flower-club.ru/bukety/8-marta/buket-238,,,
239,B20053,https://flower-club.ru/bukety/8-marta/buket-239,,,
240,B20054,https://flower-club.ru/bukety/8-marta/buket-240,,,
241,B20055,https://flower-club.ru/bukety/8-marta/buket-241,,,
242,B20056,https://flower-club.ru/bukety/8-marta/buket-242,,,
243,B20057,https://flower-club.ru/bukety/8-marta/buket-243,,,
244,B20058,https://flower-club.ru/bukety/dekoratsii/buket-244,,,
245,B20059,https://flower-club.ru/bukety/8-marta/buket-245,,,
246,B20060,https://flower-club.ru/bukety/8-marta/buket-246,,,
247,B20061,https://flower-club.ru/bukety/8-marta/buket-247,,,
248,B20062,https://flower-club.ru/bukety/buket-248,,,
249,B20063,https://flower-club.ru/bukety/8-marta/buket-249,,,
250,B20064,https://flower-club.ru/bukety/8-marta/buket-250,,,
251,B20065,https://flower-club.ru/bukety/buket-251,,,
252,B20066,https://flower-club.ru/bukety/8-marta/buket-252,,,
253,B20067,https://flower-club.ru/bukety/8-marta/buket-253,,,
254,B20068,https://flower-club.ru/bukety/buket-254,,,
255,B20069,https://flower-club.ru/bukety/8-marta/buket-255,,,
256,B20070,https://flower-club.ru/bukety/8-marta/buket-256,,,
257,B20071,https://flower-club.ru/bukety/buket-257,,,
258,B20072,https://flower-club.ru/bukety/8-marta/buket-258,,,
259,B20073,https://flower-club.ru/bukety/buket-259,,,
260,B20074,https://flower-club.ru/bukety/8-marta/buket-260,,,
261,B20075,https://flower-club.ru/bukety/8-marta/buket-261,,,
262,B20076,https://flower-club.ru/bukety/buket-262,,,
263,B20077,https://flower-club.ru/bukety/8-marta/buket-263,,,
264,B20078,https://flower-club.ru/bukety/8-marta/buket-264,,,
265,B20079,https://flower-club.ru/bukety/8-marta/buket-265,,,
266,B20080,https://flower-club.ru/bukety/buket-266,,,
267,B20081,https://flower-club.ru/bukety/8-marta/buket-267,,,
268,B20082,https://flower-club.ru/bukety/8-marta/buket-268,,,
269,B20083,https://flower-club.ru/bukety/8-marta/buket-269,,,
270,B20084,https://flower-club.ru/bukety/8-marta/buket-270,,,
271,B20085,https://flower-club.ru/bukety/buket-271,,,
272,B20086,https://flower-club.ru/bukety/den-vlyublennykh/buket-272,,,
273,B20087,https://flower-club.ru/bukety/8-marta/buket-273,,,
274,B20088,https://flower-club.ru/bukety/den-vlyublennykh/buket-274,,,
275,B20089,https://flower-club.ru/bukety/8-marta/buket-275,,,
276,B20090,https://flower-club.ru/bukety/buket-276,,,
277,B20091,https://flower-club.ru/bukety/8-marta/buket-277,,,
278,B20092,https://flower-club.ru/bukety/8-marta/buket-278,,,
279,B20093,https://flower-club.ru/bukety/8-marta/buket-279,,,
280,B20094,https://flower-club.ru/bukety/8-marta/buket-280,,,
281,B20095,https://flower-club.ru/bukety/den-vlyublennykh/buket-281,,,
